EN_ARI	SV_ARI		EN_CLI	SV_CLI		EN_LIX	SV_LIX
14.7025451564	13.8167032214		13.9513828786	17.3699344978		13.9513828786	51.7547868462
14.7283385729	13.8337037879		13.9603425693	17.3811835911		13.9603425693	51.8491119555
14.7368059357	13.8369271328		13.9604354787	17.3926106657		13.9604354787	51.9968467113
14.7464036959	13.8492647059		14.0089842382	17.4021549421		14.0089842382	52.0725458468
14.7851656721	13.8684409641		14.0234411765	17.4193034826		14.0234411765	52.171047703
14.7866144276	13.9543738491		14.0253745704	17.4327457314		14.0253745704	52.2928708766
14.8390124316	14.0226685216		14.0256942496	17.4709369863		14.0256942496	52.456751356
14.8394336996	14.1281358885		14.0310555979	17.5221369451		14.0310555979	52.5763905757
14.97547684	14.1785567846		14.0415235992	17.5275420875		14.0415235992	52.7280236447
15.002174247	14.2120216957		14.0453886505	17.5344956641		14.0453886505	52.8790653588
15.0296642546	14.2507548391		14.054688052	17.5497425335		14.054688052	52.9472527473
15.0300830805	14.2883251217		14.0616666667	17.5643893805		14.0616666667	53.1986062718
15.0540707749	14.3412374847		14.0662355009	17.5689116893		14.0662355009	53.2241054614
15.0646098659	14.3959209305		14.0965283356	17.5834226804		14.0965283356	53.4112963903
15.0774017772	14.4273400526		14.1338918239	17.6733333333		14.1338918239	53.4397312299
15.1249088282	14.4436050517		14.1574500092	17.6857488177		14.1574500092	53.6462910111
15.1944515808	14.4528997775		14.1992566984	17.7295863593		14.1992566984	53.8148303427
15.2139878697	14.5177971953		14.2080810442	17.7379094077		14.2080810442	53.8243208273
15.3477097247	14.6547200969		14.2109260992	17.7483554648		14.2109260992	53.9250234302
15.3590488432	14.7507335388		14.2257807871	17.7712368169		14.2257807871	53.9617789618
15.3793950322	14.8356130251		14.2353464052	17.8606585789		14.2353464052	54.0077282946
15.5605182212	14.8427172743		14.2499575809	17.8633126807		14.2499575809	54.0187880066
15.6092262391	14.8783305583		14.2558690032	17.9891947566		14.2558690032	54.3076563959
15.6160451899	15.0934217256		14.2989313573	17.9916144578		14.2989313573	54.7650210486
15.616077344	15.2643158129		14.3330469897	18.0187820148		14.3330469897	54.7999941166
15.6251179506	15.2785671521		14.3704895105	18.0787961165		14.3704895105	55.5491078296
15.6342840371	15.4733776945		14.4013722763	18.1249488753		14.4013722763	55.8886476346
15.6447930051	15.5408936446		14.4032005372	18.2212292476		14.4032005372	55.9824847198
15.8292999212	15.5616484656		14.4093181347	18.5263624842		14.4093181347	56.29655502
15.8582000594	16.0153184495		14.4564944365	18.6972616984		14.4564944365	57.1818873668
15.898019635	16.4636813328		14.4764397378	18.7040692187		14.4764397378	58.0527732392
15.9314460459	16.5288587519		14.4767650971	18.7921590909		14.4767650971	58.0546039749
16.2390957651	16.5327265894		14.6082011405	18.7968384026		14.6082011405	58.2282149383
16.409917119	16.5974033458		14.6346368105	18.9080432508		14.6346368105	58.5896483627
16.5119477713	16.718518646		14.6360736856	18.9664222382		14.6360736856	59.4406196213
16.8686439526	17.1527034181		15.0521053629	19.2023446659		15.0521053629	59.703323117
